slug,name,commons_file_url,author,licence,alt,status,notes
agusta-109-grand,Agusta 109 Grand,"https://commons.wikimedia.org/wiki/File:Agusta_A109S_Grand,_Mexico_-_Government_JP7316860.jpg",,,,todo,"JetPhotos upload: confirm licence. Most Commons ""Grand"" files are GrandNew (AW109SP), a different variant."
agusta-119-koala,Agusta 119 Koala,https://commons.wikimedia.org/wiki/File:Agusta_A119_Koala.jpg,,,,todo,
agusta-aw109-power,Agusta AW109 Power,https://commons.wikimedia.org/wiki/File:Agusta_A109E_Power_‘G-RSCU’_(23033867874).jpg,,,,todo,
airbus-h125,Airbus H125,https://commons.wikimedia.org/wiki/File:Airbus_Helicopters_H125_Écureuil_(3014938056).jpg,,,,todo,"Flickr photo predates the H125 name: confirm it is an AS350 B3e/H125, not an earlier AS350."
airbus-h145,Airbus H145,https://commons.wikimedia.org/wiki/File:Airbus_Helicopters_H145_Jupiter_(40961377550).jpg,,,,todo,Military Jupiter: a civil H145 from Category:Airbus Helicopters H145 would read better.
dauphin-as365n2,Dauphin AS365N2,https://commons.wikimedia.org/wiki/File:Great_North_Air_Ambulance_Eurocopter_Dauphin_AS.365_N2_(G-NHAC).jpg,,,,todo,
eurocopter-as365-dauphin,Eurocopter AS365 Dauphin,,,,,todo,"No file chosen: which Dauphin variant is this row (N2, N3, other)? Answer first."
hs-135-airbus-h135,HS 135 (Airbus H135),https://commons.wikimedia.org/wiki/File:G-TVAL_Airbus_Helicopters_H135_Babcock_Mission_Critical_Services_Onshore_Ltd_(41080891701).jpg,,,,todo,
robinson-r66,Robinson R66,https://commons.wikimedia.org/wiki/File:VH-ZVQ_Robinson_R66_Turbine_Bankstown_Helicopters_(6486058837).jpg,,,,todo,
textron-bell-407,Textron Bell 407,https://commons.wikimedia.org/wiki/File:G-TOPI_Bell_407_Helicopter_(29384309083).jpg,,,,todo,Confirm plain 407 (not 407GX/GXi) if the row means the base model.
textron-bell-429,Textron Bell 429,"https://commons.wikimedia.org/wiki/File:Heli-Alpes,_HB-ZAP,_Bell_429_Global_Ranger_(52660927701).jpg",,,,todo,
king-air-b300,King Air B300,https://commons.wikimedia.org/wiki/File:A32-350_Beechcraft-Raytheon_B300_King_Air_350_RAAF_(6485873285).jpg,,,,todo,"B300 is the King Air 350, same as the B350 row: confirm whether both rows should exist."
king-air-c90,King Air C90,"https://commons.wikimedia.org/wiki/File:OH-BAX,_Beechcraft_C90_King_Air_(17802311604).jpg",,,,todo,
super-king-air-b200,Super King Air B200,https://commons.wikimedia.org/wiki/File:N204RA_Beechcraft_Super_King_Air_B200_s_n_BB-1885_(53649401452).jpg,,,,todo,
super-king-air-b200gt,Super King Air B200GT,https://commons.wikimedia.org/wiki/File:M-CDJC_Beech_King_Air_200GT_BAE_Systems_Marine_Ltd_(24850897495).jpg,,,,todo,
super-king-air-b350,Super King Air B350,https://commons.wikimedia.org/wiki/File:Australian_Beechcraft_B300_King_Air_350.JPG,,,,todo,See King Air B300 row.
beechcraft-hawker-4000,Beechcraft Hawker 4000,https://commons.wikimedia.org/wiki/File:N901SG_Raytheon_Hawker_Horizon_4000_(9191184877).jpg,,,,todo,
beechcraft-hawker-400xp,Beechcraft Hawker 400XP,https://commons.wikimedia.org/wiki/File:Raytheon_Hawker_400XP_CS-DMY_at_LHR_(6188148155).jpg,,,,todo,
beechcraft-hawker-750xp,Beechcraft Hawker 750XP,"https://commons.wikimedia.org/wiki/File:Hawker_Beechcraft_750_(cn_HB-017,_D-CETB)_2024-06-25_Andre_Gerwing_Collection_ID_019770.jpg",,,,todo,Official name is Hawker 750 (no XP).
beechcraft-hawker-800xp,Beechcraft Hawker 800XP,https://commons.wikimedia.org/wiki/File:D-CXNL_Raytheon_Hawker_800XP_H25P_-_JTI_JetAir_Flug_(31113476444).jpg,,,,todo,
beechcraft-hawker-850xp,Beechcraft Hawker 850XP,"https://commons.wikimedia.org/wiki/File:KS_Avia,_YL-KSD,_Beechcraft_Hawker_850XP_(21308960221).jpg",,,,todo,
beechcraft-hawker-900xp,Beechcraft Hawker 900XP,https://commons.wikimedia.org/wiki/File:M-INOR_Hawker_900XP_H25B_-_CTC_Aviation_(16139257297).jpg,,,,todo,
beechcraft-premier-1a,Beechcraft Premier 1A,https://commons.wikimedia.org/wiki/File:VH-VHP_Beechcraft-Raytheon_390_Premier_IA_Sydney_Jet_Charter_(6485876219).jpg,,,,todo,
bombardier-learjet-40,Bombardier Learjet 40,https://commons.wikimedia.org/wiki/File:I-ELYS_LearJet_40_LJ40_-_EEU_(21051849598).jpg,,,,todo,
bombardier-learjet-45,Bombardier Learjet 45,https://commons.wikimedia.org/wiki/File:VH-SQR_Bombardier_Learjet_45_Singapore_Flying_College_(8647126187).jpg,,,,todo,
bombardier-learjet-45xr,Bombardier Learjet 45XR,"https://commons.wikimedia.org/wiki/File:Ryanair,_M-ABGV,_Learjet_45XR_(22192641076).jpg",,,,todo,
cessna-citation-cj1,Cessna Citation CJ1,"https://commons.wikimedia.org/wiki/File:Airlink,_OE-FVJ,_Cessna_525_CitationJet_CJ1_(23058562931).jpg",,,,todo,
cessna-citation-cj1-plus,Cessna Citation CJ1+,https://commons.wikimedia.org/wiki/File:F-HRCA_Cessna_525_CitationJet_CJ1+_C525_-_RC_Air_(31096905411).jpg,,,,todo,
cessna-citation-cj2,Cessna Citation CJ2,https://commons.wikimedia.org/wiki/File:Machjet_International_(VH-SUY)_Cessna_525A_Citation_CJ2_at_Wagga_Wagga_Airport_(1).jpg,,,,todo,"Likely CC BY-SA 3.0 AU (allowed). Confirm CJ2, not CJ2+."
cessna-citation-cj2-plus,Cessna Citation CJ2+,https://commons.wikimedia.org/wiki/File:Linxair_Business_Airlines_Cessna_525A_Citation_CJ2+_S5-BAR_(21997313285).jpg,,,,todo,
cessna-citation-ii,Cessna Citation II,https://commons.wikimedia.org/wiki/File:Cessna_550_Citation_II_7Q-YLF_(14033689382).jpg,,,,todo,
cessna-citation-iii,Cessna Citation III,"https://commons.wikimedia.org/wiki/File:Private,_4X-CZA,_Cessna_650_Citation_III_(29553279432).jpg",,,,todo,
cessna-citation-xl,Cessna Citation XL,"https://commons.wikimedia.org/wiki/File:AirPink,_YU-RDA,_Cessna_Citation_Excel_560XL_(30619395894).jpg",,,,todo,Citation XL = Citation Excel (560XL).
cessna-citation-xls,Cessna Citation XLS,https://commons.wikimedia.org/wiki/File:Cessna_560XL_Citation_XLS_CS-DXK.jpg,,,,todo,"Confirm XLS, not XLS+ (XLS+ has a reshaped nose)."
cessna-citation-xls-plus,Cessna Citation XLS+,"https://commons.wikimedia.org/wiki/File:Cessna_560XL_-_Citation_XLS+_(c-n_6347,_D-CAWH)_2025-11-06_Andre_Gerwing_Collection_ID_027301.jpg",,,,todo,
dassault-falcon-2000,Dassault Falcon 2000,https://commons.wikimedia.org/wiki/File:N783FS_1995_Dassault_Aviation_Falcon_2000_C-N_09_(6677520987).jpg,,,,todo,"Confirm base Falcon 2000, not 2000EX/LX/S."
embraer-erj-135-lr,Embraer ERJ 135 LR,https://commons.wikimedia.org/wiki/File:VH-JTG_Embraer_ERJ_135LR_JetGo_(8241176478).jpg,,,,todo,
embraer-legacy-600,Embraer Legacy 600,https://commons.wikimedia.org/wiki/File:M-MHFZ_Embraer_EMB_135BJ_Legacy_600_E35L_(21146752131).jpg,,,,todo,
embraer-legacy-650,Embraer Legacy 650,"https://commons.wikimedia.org/wiki/File:Union_Aviation,_YL-DAN,_Embraer_Legacy_650_(52267631979).jpg",,,,todo,
embraer-phenom-300,Embraer Phenom 300,https://commons.wikimedia.org/wiki/File:Embraer_Phenom_300_C-GNSB.jpg,,,,todo,
global-6000,Global 6000,https://commons.wikimedia.org/wiki/File:M-ARGO_Bombardier_BD-700-1A10_Global_6000_GLEX_-_Sun_Burst_Invest_(19772316026).jpg,,,,todo,
global-express-xrs,Global Express XRS,"https://commons.wikimedia.org/wiki/File:Corporate_Flight_Management,_N989SF,_Global_Express_XRS_(50047906453).jpg",,,,todo,
gulfstream-g550,Gulfstream G550,https://commons.wikimedia.org/wiki/File:Gulfstream_G550_‘N550GA’_(35745435615).jpg,,,,todo,
learjet-60,Learjet 60,https://commons.wikimedia.org/wiki/File:VH-EXJ_Bombardier_Learjet_60_ExecuJet_Australia_(6485932063).jpg,,,,todo,"Confirm plain 60, not 60XR."
learjet-60xr,Learjet 60XR,https://commons.wikimedia.org/wiki/File:Untitled_Learjet_60XR_G-XXZZ_(28752821021).jpg,,,,todo,
